Nome;Vaga;Idade;Estado
Kauê Araujo;QA;23 anos;SC
Giovanna Cunha;QA;21 anos;SC
Samuel Fernandes;Android;19 anos;SC
Kauan Ferreira;Android;30 anos;SC
Brenda Sousa;Android;50 anos;SC
Carolina Sousa;QA;20 anos;SC
Marcos Rodrigues;Android;33 anos;SC
Renan Goncalves;Android;21 anos;SC
Estevan Rocha;QA;21 anos;SC
Daniel Pinto;Android;27 anos;SC
Davi Barros;Android;20 anos;SC
Giovanna Costa;Android;22 anos;SC
Kauã Ferreira;iOS;19 anos;SC
Maria Ferreira;Android;26 anos;SC
Isabelle Cardoso;Android;18 anos;SC
Gabrielly Cunha;iOS;22 anos;SC
Ágatha Almeida;QA;26 anos;SC
Luis Dias;Android;19 anos;SC
Arthur Oliveira;QA;41 anos;SC
Isabelle Ribeiro;iOS;38 anos;SC
Miguel Rodrigues;QA;39 anos;SC
Leonardo Silva;iOS;19 anos;SC
Julia Castro;Android;19 anos;SC
Breno Pereira;Android;19 anos;SC
João Gomes;Android;19 anos;SC
Leila Costa;iOS;21 anos;SC
Anna Costa;Android;30 anos;GO
Eduardo Souza;iOS;27 anos;SC
Davi Ferreira;QA;33 anos;SC
Matheus Barbosa;iOS;22 anos;SC
Aline Martins;iOS;33 anos;SC
Nicole Sousa;Android;17 anos;SC
Carlos Martins;QA;28 anos;SC
Vinícius Azevedo;QA;34 anos;SC
Ana Castro;Android;19 anos;SC
Amanda Pinto;Android;29 anos;SC
Guilherme Oliveira;QA;30 anos;SP
Rafael Castro;Android;36 anos;SC
Douglas Barros;QA;30 anos;SC
Paulo Cunha;Android;18 anos;SC
Sophia Correia;Android;18 anos;SC
Lucas Araujo;Android;54 anos;SC
Emily Ferreira;Android;22 anos;SC
Isabelle Dias;Android;22 anos;SC
Camila Lima;QA;18 anos;SC
Isabela Araujo;Android;20 anos;SC
Emilly Sousa;Android;19 anos;SP
Kaua Ferreira;iOS;26 anos;SP
Alex Sousa;QA;18 anos;SC
Danilo Conrado;iOS;27 anos;SC
Miguel Fernandes;Android;27 anos;SC
Nicolas Araujo;iOS;28 anos;SP
Gabrielly Cardoso;QA;40 anos;SC
José Silva;QA;48 anos;SC
Yasmin Dias;Android;21 anos;SC
Nicolash Almeida;iOS;18 anos;SC
Fernanda Santos;QA;19 anos;SC
Beatrice Araujo;Android;20 anos;SC
Thiago Carvalho;Android;20 anos;SC
Isabella Ribeiro;iOS;25 anos;SC
Enzo Barros;QA;24 anos;SC
Manuela Dias;Android;35 anos;SC
Nicolash Cunha;QA;27 anos;SC
Paulo Gomes;iOS;19 anos;SC
Vitória Fernandes;QA;18 anos;SC
Bianca Castro;Android;22 anos;SC
Amanda Cardoso;Android;22 anos;SC
Felipe Fernandes;Android;22 anos;SP
Livia Rodrigues;iOS;18 anos;SC
Kauã Cardoso;QA;18 anos;SC
Marisa Cardoso;iOS;27 anos;SC
Anna Carvalho;QA;17 anos;SC
Rafael Araujo;iOS;19 anos;SC
Matilde Barros;Android;25 anos;SC
Evelyn Rodrigues;QA;18 anos;SC
Kauan Dias;iOS;29 anos;SC
Camila Barros;Android;18 anos;SC
Diego Pereira;Android;28 anos;SC
Julian Cardoso;QA;40 anos;SC
Anna Costa;iOS;18 anos;SC
Anna Almeida;QA;26 anos;SC
Lara Fernandes;iOS;19 anos;SC
Mateus Silva;QA;24 anos;SC
Raissa Ribeiro;Android;30 anos;SC
Eduarda Barros;Android;21 anos;SC
Enzo Barros;Android;24 anos;SC
Kai Dias;Android;28 anos;SC
Carolina Goncalves;Android;22 anos;SC
Vitor Gomes;QA;42 anos;SC
Sofia Alves;QA;23 anos;SC
Evelyn Carvalho;QA;24 anos;SC
Julian Cardoso;QA;24 anos;SC
Rafaela Cunha;Android;18 anos;SC
Vitória Dias;QA;20 anos;SC
Anna Santos;iOS;32 anos;SC
Miguel Correia;QA;29 anos;SC
Manuela Gomes;QA;22 anos;SC
Fernanda Almeida;QA;26 anos;SC
Paulo Rocha;QA;19 anos;SC
Danilo Correia;QA;47 anos;SC
Maria Oliveira;Android;18 anos;SC
Bruna Martins;Android;19 anos;SC
Gabrielle Rodrigues;Android;18 anos;SC
Emilly Barros;Android;37 anos;SC
Ágatha Sousa;Android;28 anos;SC
Fernanda Barbosa;Android;31 anos;SC
Eduardo Oliveira;Android;28 anos;SC
Diego Castro;Android;22 anos;SC
Igor Martins;QA;21 anos;SC
Thaís Barbosa;QA;31 anos;SC
Guilherme Ribeiro;Android;29 anos;SC
Mariana Rodrigues;Android;27 anos;SC
Estevan Cavalcanti;iOS;26 anos;SP
André Souza;iOS;26 anos;SC
André Melo;Android;23 anos;SC
Isabella Carvalho;iOS;17 anos;SC
Ryan Barbosa;QA;17 anos;SC
Isabelle Rocha;Android;23 anos;SC
Sarah Rodrigues;QA;49 anos;SC
Gabrielle Costa;QA;28 anos;SC
Ryan Souza;iOS;20 anos;SC
Diego Barbosa;iOS;25 anos;RJ
Beatriz Alves;iOS;28 anos;SC
Luiza Cunha;QA;21 anos;SP
Marina Pinto;QA;18 anos;SC
Eduarda Silva;iOS;24 anos;SC
Tiago Oliveira;Android;30 anos;SC
Júlio Fernandes;Android;26 anos;SC
Letícia Ribeiro;Android;34 anos;SC
Tânia Rodrigues;Android;32 anos;SC
João Cunha;Android;18 anos;SC
Luís Lima;Android;18 anos;SC
Gabrielly Cunha;QA;20 anos;SC
Murilo Gomes;Android;22 anos;SC
Nicolas Almeida;QA;33 anos;SC
Camila Cardoso;Android;22 anos;SC
Larissa Ribeiro;Android;25 anos;SP
Antônio Cavalcanti;Android;23 anos;SC
Bianca Azevedo;Android;20 anos;SC
Carla Barros;Android;28 anos;SC
Arthur Barbosa;Android;28 anos;SC
Tiago Barros;QA;20 anos;SC
Marcos Souza;QA;27 anos;SC
Emily Cunha;QA;35 anos;SC
Maria Alves;QA;19 anos;SP
Renan Ferreira;QA;38 anos;SC
Mariana Oliveira;iOS;17 anos;SC
Rafael Costa;Android;18 anos;SC
José Santos;Android;27 anos;RJ
Livia Araujo;iOS;39 anos;SC
Bianca Cunha;Android;35 anos;SC
Alice Lima;Android;22 anos;SC
Leila Silva;Android;22 anos;SC
Ágatha Santos;Android;26 anos;SC
Melissa Cunha;QA;19 anos;SC
Gustavo Costa;QA;20 anos;SC
Beatrice Pereira;Android;21 anos;SC
Otávio Fernandes;QA;30 anos;SC
Daniel Melo;iOS;55 anos;SC
Matheus Alves;iOS;50 anos;SC
Paulo Goncalves;Android;24 anos;SC
Thaís Cavalcanti;QA;20 anos;AL
Renan Cunha;Android;22 anos;SC
Antônio Ribeiro;QA;24 anos;SC
Sofia Rodrigues;iOS;20 anos;SC
Vitor Costa;Android;23 anos;SC
Rafael Pinto;Android;28 anos;SC
Nicole Carvalho;QA;33 anos;SC
Nicole Ferreira;Android;22 anos;SC
Kauê Souza;QA;19 anos;SC
Fernanda Ribeiro;QA;46 anos;SC
Rafael Martins;QA;32 anos;SC
Emilly Pereira;iOS;21 anos;SC
Rebeca Araujo;iOS;20 anos;SC
Aline Cunha;iOS;24 anos;SC
Julieta Pinto;Android;33 anos;SC
Luiz Gomes;iOS;20 anos;SC
Giovanna Silva;QA;24 anos;SC
Gabriela Correia;QA;27 anos;SC
Alice Gomes;Android;27 anos;SC
Brenda Gomes;Android;17 anos;SC
Arthur Goncalves;Android;20 anos;SC
Leonor Oliveira;QA;32 anos;SC
Pedro Barros;Android;20 anos;SC
Gabrielle Rocha;Android;20 anos;SC
Heitor Goncalves;QA;23 anos;SC
Aline Fernandes;Android;20 anos;SC
Estevan Rodrigues;Android;19 anos;SC
Livia Cunha;Android;19 anos;SC
Matheus Carvalho;Android;18 anos;SC
Erick Santos;QA;18 anos;SC
Marina Costa;Android;34 anos;SC
José Goncalves;Android;30 anos;SC
Ana Correia;QA;24 anos;SC
Kauan Martins;Android;23 anos;SC
Caio Melo;Android;17 anos;SC
Marina Goncalves;QA;17 anos;SC
Leonor Gomes;Android;17 anos;SC
Otávio Ferreira;Android;18 anos;SC
Kai Carvalho;QA;25 anos;SC
Arthur Fernandes;Android;26 anos;SC
Rafael Cavalcanti;Android;19 anos;SC
Matilde Rodrigues;Android;18 anos;SC
Ágatha Souza;QA;23 anos;SC
Tomás Cunha;QA;19 anos;SC
Luana Rodrigues;QA;29 anos;SC
Gabrielly Azevedo;iOS;25 anos;SC
Clara Lima;QA;23 anos;SC
Emilly Fernandes;Android;24 anos;SC
Fernandu Vieira;QA;29 anos;SC
Victor Cardoso;Android;18 anos;SC
Leonardo Alves;Android;20 anos;SC
Carlos Martins;QA;24 anos;SC
Rodrigo Carvalho;Android;24 anos;SC
Estevan Castro;Android;23 anos;SC
Giovanna Castro;QA;32 anos;SC
Matilde Carvalho;QA;33 anos;SC
Martim Almeida;QA;24 anos;SC
Gabriel Costa;Android;20 anos;SC
Fernanda Goncalves;QA;24 anos;SC
Júlia Azevedo;iOS;35 anos;AM
Alex Santos;QA;21 anos;SC
Vinícius Fernandes;iOS;28 anos;SC
Estevan Alves;Android;30 anos;PR
Luana Santos;Android;23 anos;SC
Beatriz Rodrigues;QA;18 anos;SC
Luís Almeida;Android;19 anos;SC
Arthur Cardoso;Android;29 anos;SP
Samuel Ribeiro;QA;25 anos;SC
Martim Azevedo;Android;19 anos;SC
